  input = module(input)
[17/70] mean_loss : 0.31
[18/70] mean_loss : 0.33
[18/70] mean_loss : 0.31
[19/70] mean_loss : 0.28
[19/70] mean_loss : 0.31
[20/70] mean_loss : 0.28
[20/70] mean_loss : 0.31
[21/70] mean_loss : 0.30
[21/70] mean_loss : 0.31
[22/70] mean_loss : 0.29
[22/70] mean_loss : 0.31
[23/70] mean_loss : 0.29
[23/70] mean_loss : 0.30
[24/70] mean_loss : 0.29
[24/70] mean_loss : 0.30
[25/70] mean_loss : 0.30
[25/70] mean_loss : 0.30
[26/70] mean_loss : 0.30
[26/70] mean_loss : 0.30
[27/70] mean_loss : 0.33
[27/70] mean_loss : 0.30
[28/70] mean_loss : 0.29
[28/70] mean_loss : 0.29
[29/70] mean_loss : 0.30
[29/70] mean_loss : 0.26
[30/70] mean_loss : 0.26
[30/70] mean_loss : 0.23
[31/70] mean_loss : 0.23
[31/70] mean_loss : 0.21
[32/70] mean_loss : 0.18
[32/70] mean_loss : 0.19
[33/70] mean_loss : 0.20
[33/70] mean_loss : 0.17
[34/70] mean_loss : 0.15
[34/70] mean_loss : 0.15
[35/70] mean_loss : 0.12
[35/70] mean_loss : 0.14
[36/70] mean_loss : 0.11
[36/70] mean_loss : 0.13
[37/70] mean_loss : 0.13
[37/70] mean_loss : 0.11
[38/70] mean_loss : 0.11
[38/70] mean_loss : 0.10
[39/70] mean_loss : 0.09
[39/70] mean_loss : 0.09
[40/70] mean_loss : 0.07
[40/70] mean_loss : 0.07
[41/70] mean_loss : 0.06
[41/70] mean_loss : 0.07
[42/70] mean_loss : 0.05
[42/70] mean_loss : 0.06
[43/70] mean_loss : 0.03
[43/70] mean_loss : 0.05
[44/70] mean_loss : 0.04
[44/70] mean_loss : 0.04
[45/70] mean_loss : 0.03
[45/70] mean_loss : 0.04
[46/70] mean_loss : 0.02
[46/70] mean_loss : 0.03
[47/70] mean_loss : 0.05
[47/70] mean_loss : 0.03
[48/70] mean_loss : 0.01
[48/70] mean_loss : 0.03
[49/70] mean_loss : 0.03
[49/70] mean_loss : 0.02
[50/70] mean_loss : 0.03
[50/70] mean_loss : 0.03
[51/70] mean_loss : 0.01
[51/70] mean_loss : 0.02
[52/70] mean_loss : 0.08
[52/70] mean_loss : 0.02
[53/70] mean_loss : 0.01
[53/70] mean_loss : 0.02
[54/70] mean_loss : 0.00
Early Stopping!
74.0
Error occurred
[0/70] mean_loss : 3.43
[0/70] mean_loss : 1.22
[1/70] mean_loss : 0.91
[1/70] mean_loss : 0.91
[2/70] mean_loss : 0.90
[2/70] mean_loss : 0.90
[3/70] mean_loss : 0.90
[3/70] mean_loss : 0.90
[4/70] mean_loss : 0.91
[4/70] mean_loss : 0.88
[5/70] mean_loss : 0.53
[5/70] mean_loss : 0.46
[6/70] mean_loss : 0.37
[6/70] mean_loss : 0.32
[7/70] mean_loss : 0.25
[7/70] mean_loss : 0.31
[8/70] mean_loss : 0.31
[8/70] mean_loss : 0.30
[9/70] mean_loss : 0.25
[9/70] mean_loss : 0.29
[10/70] mean_loss : 0.28
[10/70] mean_loss : 0.28
[11/70] mean_loss : 0.28
[11/70] mean_loss : 0.28
[12/70] mean_loss : 0.26
[12/70] mean_loss : 0.28
[13/70] mean_loss : 0.24
[13/70] mean_loss : 0.27
[14/70] mean_loss : 0.31
[14/70] mean_loss : 0.27
[15/70] mean_loss : 0.22
[15/70] mean_loss : 0.27
[16/70] mean_loss : 0.22
[16/70] mean_loss : 0.26
[17/70] mean_loss : 0.28
[17/70] mean_loss : 0.26
[18/70] mean_loss : 0.24
[18/70] mean_loss : 0.25
[19/70] mean_loss : 0.30
[19/70] mean_loss : 0.25
[20/70] mean_loss : 0.23
[20/70] mean_loss : 0.25
[21/70] mean_loss : 0.23
[21/70] mean_loss : 0.24
[22/70] mean_loss : 0.22
[22/70] mean_loss : 0.24
[23/70] mean_loss : 0.23
[23/70] mean_loss : 0.23
[24/70] mean_loss : 0.25
[24/70] mean_loss : 0.23
[25/70] mean_loss : 0.21
[25/70] mean_loss : 0.22
[26/70] mean_loss : 0.23
[26/70] mean_loss : 0.22
[27/70] mean_loss : 0.20
[27/70] mean_loss : 0.21
[28/70] mean_loss : 0.15
[28/70] mean_loss : 0.20
[29/70] mean_loss : 0.18
[29/70] mean_loss : 0.19
[30/70] mean_loss : 0.14
[30/70] mean_loss : 0.19
[31/70] mean_loss : 0.18
[31/70] mean_loss : 0.18
[32/70] mean_loss : 0.17
[32/70] mean_loss : 0.17
[33/70] mean_loss : 0.14
[33/70] mean_loss : 0.16
[34/70] mean_loss : 0.13
[34/70] mean_loss : 0.16
[35/70] mean_loss : 0.12
[35/70] mean_loss : 0.15
[36/70] mean_loss : 0.12
[36/70] mean_loss : 0.14
[37/70] mean_loss : 0.10
[37/70] mean_loss : 0.13
[38/70] mean_loss : 0.11
[38/70] mean_loss : 0.12
[39/70] mean_loss : 0.12
[39/70] mean_loss : 0.12
[40/70] mean_loss : 0.09
[40/70] mean_loss : 0.10
[41/70] mean_loss : 0.12
[41/70] mean_loss : 0.10
[42/70] mean_loss : 0.09
[42/70] mean_loss : 0.09
[43/70] mean_loss : 0.09
[43/70] mean_loss : 0.09
[44/70] mean_loss : 0.06
[44/70] mean_loss : 0.08
[45/70] mean_loss : 0.07
[45/70] mean_loss : 0.07
[46/70] mean_loss : 0.09
[46/70] mean_loss : 0.06
[47/70] mean_loss : 0.05
[47/70] mean_loss : 0.06
[48/70] mean_loss : 0.06
[48/70] mean_loss : 0.06
[49/70] mean_loss : 0.09
[49/70] mean_loss : 0.05
[50/70] mean_loss : 0.05
[50/70] mean_loss : 0.05
[51/70] mean_loss : 0.03
[51/70] mean_loss : 0.05
[52/70] mean_loss : 0.05
[52/70] mean_loss : 0.04
[53/70] mean_loss : 0.05
[53/70] mean_loss : 0.04
[54/70] mean_loss : 0.02
[54/70] mean_loss : 0.03
[55/70] mean_loss : 0.02
[55/70] mean_loss : 0.03
[56/70] mean_loss : 0.02
[56/70] mean_loss : 0.03
[57/70] mean_loss : 0.02
[57/70] mean_loss : 0.03
[58/70] mean_loss : 0.01
Early Stopping!
67.60000000000001
Error occurred
[0/70] mean_loss : 3.72
[0/70] mean_loss : 0.74
[1/70] mean_loss : 0.35
[1/70] mean_loss : 0.35
[2/70] mean_loss : 0.35
[2/70] mean_loss : 0.35
[3/70] mean_loss : 0.35
[3/70] mean_loss : 0.35
[4/70] mean_loss : 0.35
[4/70] mean_loss : 0.35
[5/70] mean_loss : 0.35
[5/70] mean_loss : 0.35
[6/70] mean_loss : 0.35
[6/70] mean_loss : 0.35
[7/70] mean_loss : 0.34
[7/70] mean_loss : 0.35
[8/70] mean_loss : 0.35
[8/70] mean_loss : 0.35
[9/70] mean_loss : 0.35
[9/70] mean_loss : 0.35
[10/70] mean_loss : 0.34
[10/70] mean_loss : 0.35
[11/70] mean_loss : 0.35
[11/70] mean_loss : 0.35
[12/70] mean_loss : 0.35
[12/70] mean_loss : 0.35
[13/70] mean_loss : 0.36
[13/70] mean_loss : 0.35
[14/70] mean_loss : 0.35
[14/70] mean_loss : 0.35
[15/70] mean_loss : 0.34
[15/70] mean_loss : 0.35
[16/70] mean_loss : 0.35
[16/70] mean_loss : 0.35
[17/70] mean_loss : 0.36
[17/70] mean_loss : 0.35
[18/70] mean_loss : 0.35
[18/70] mean_loss : 0.35
[19/70] mean_loss : 0.35
[19/70] mean_loss : 0.35
[20/70] mean_loss : 0.35
[20/70] mean_loss : 0.35
[21/70] mean_loss : 0.35
[21/70] mean_loss : 0.35
[22/70] mean_loss : 0.35
[22/70] mean_loss : 0.35
[23/70] mean_loss : 0.34
[23/70] mean_loss : 0.35
[24/70] mean_loss : 0.35
[24/70] mean_loss : 0.35
[25/70] mean_loss : 0.35
[25/70] mean_loss : 0.35
[26/70] mean_loss : 0.35
[26/70] mean_loss : 0.35
[27/70] mean_loss : 0.35
[27/70] mean_loss : 0.35
[28/70] mean_loss : 0.35
[28/70] mean_loss : 0.35
[29/70] mean_loss : 0.36
[29/70] mean_loss : 0.35
[30/70] mean_loss : 0.34
[30/70] mean_loss : 0.35
[31/70] mean_loss : 0.35
[31/70] mean_loss : 0.35
[32/70] mean_loss : 0.35
[32/70] mean_loss : 0.35
[33/70] mean_loss : 0.34
[33/70] mean_loss : 0.35
[34/70] mean_loss : 0.35
[34/70] mean_loss : 0.35
[35/70] mean_loss : 0.35
[35/70] mean_loss : 0.35
[36/70] mean_loss : 0.35
[36/70] mean_loss : 0.35
[37/70] mean_loss : 0.35
[37/70] mean_loss : 0.35
[38/70] mean_loss : 0.35
[38/70] mean_loss : 0.35
[39/70] mean_loss : 0.35
[39/70] mean_loss : 0.35
[40/70] mean_loss : 0.35
[40/70] mean_loss : 0.35
[41/70] mean_loss : 0.35
[41/70] mean_loss : 0.35
[42/70] mean_loss : 0.36
[42/70] mean_loss : 0.35
[43/70] mean_loss : 0.35
[43/70] mean_loss : 0.35
[44/70] mean_loss : 0.35
[44/70] mean_loss : 0.35
[45/70] mean_loss : 0.35
[45/70] mean_loss : 0.35
[46/70] mean_loss : 0.34
[46/70] mean_loss : 0.35
[47/70] mean_loss : 0.36
[47/70] mean_loss : 0.35
[48/70] mean_loss : 0.35
[48/70] mean_loss : 0.35
[49/70] mean_loss : 0.35
[49/70] mean_loss : 0.35
[50/70] mean_loss : 0.35
[50/70] mean_loss : 0.35
[51/70] mean_loss : 0.35
[51/70] mean_loss : 0.35
[52/70] mean_loss : 0.36
[52/70] mean_loss : 0.35
[53/70] mean_loss : 0.35
[53/70] mean_loss : 0.35
[54/70] mean_loss : 0.35
[54/70] mean_loss : 0.35
[55/70] mean_loss : 0.35
[55/70] mean_loss : 0.35
[56/70] mean_loss : 0.35
[56/70] mean_loss : 0.35
[57/70] mean_loss : 0.34
[57/70] mean_loss : 0.35
[58/70] mean_loss : 0.34
[58/70] mean_loss : 0.35
